Strength,Value [MPa],Year
Tensile Strength,523,2012
Tensile Strength,637,2012
Yield Strength,250,2012
Yield Strength,250,2012
Tensile Strength,686,2012
Tensile Strength,1400,2012
Tensile Strength,1400,2012
Yield Strength,878,2012
Tensile Strength,310,2012
Tensile Strength,310,2012
Tensile Strength,900,2012
Yield Strength,50,2012
Tensile Strength,360,2012
Tensile Strength,764,2012
Tensile Strength,1500,2012
Yield Strength,300,2012
Yield Strength,800,2012
Tensile Strength,290,2012
Tensile Strength,270,2012
Tensile Strength,244,2012
Yield Strength,354,2012
Tensile Strength,681,2012
Tensile Strength,153,2012
Tensile Strength,372,2012
Tensile Strength,90,2012
Yield Strength,1450,2012
Yield Strength,1011,2012
Yield Strength,900,2012
Yield Strength,1000,2012
Yield Strength,304,2012
Tensile Strength,576,2012
Tensile Strength,1100,2012
Tensile Strength,1100,2012
Tensile Strength,260,2012
Yield Strength,902,2012
Yield Strength,307,2012
Yield Strength,690,2013
Yield Strength,690,2013
Yield Strength,568,2013
Yield Strength,170,2013
Tensile Strength,1385,2013
Yield Strength,1280,2013
Tensile Strength,1385,2013
Yield Strength,1280,2013
Tensile Strength,1340,2013
Yield Strength,1450,2013
Tensile Strength,1600,2013
Yield Strength,204,2013
Tensile Strength,195,2013
Yield Strength,70,2013
Tensile Strength,450,2013
Yield Strength,345,2013
Tensile Strength,521,2013
Yield Strength,170,2013
Yield Strength,380,2013
Yield Strength,1000,2013
Tensile Strength,550,2013
Yield Strength,439,2013
Tensile Strength,737,2013
Yield Strength,72,2013
Tensile Strength,230,2013
Tensile Strength,187,2013
Tensile Strength,265,2013
Tensile Strength,521,2013
Tensile Strength,521,2013
Tensile Strength,242,2013
Tensile Strength,411,2013
Tensile Strength,322,2013
Tensile Strength,650,2013
Yield Strength,350,2013
Yield Strength,260,2013
Tensile Strength,700,2013
Yield Strength,552,2013
Tensile Strength,700,2013
Yield Strength,552,2013
Yield Strength,1049,2013
Yield Strength,827,2013
Yield Strength,450,2013
Yield Strength,600,2013
Tensile Strength,1100,2013
Tensile Strength,310,2013
Tensile Strength,395,2013
Tensile Strength,288,2013
Tensile Strength,395,2013
Yield Strength,1000,2013
Tensile Strength,321,2013
Tensile Strength,174,2013
Yield Strength,70,2013
Yield Strength,110,2013
Yield Strength,40,2013
Yield Strength,1000,2013
Tensile Strength,1330,2013
Yield Strength,1000,2013
Tensile Strength,342,2013
Tensile Strength,140,2013
Tensile Strength,477,2013
Tensile Strength,195,2013
Tensile Strength,2014,2013
Tensile Strength,835,2013
Tensile Strength,187,2013
Tensile Strength,228,2013
Tensile Strength,347,2013
Tensile Strength,207,2013
Tensile Strength,347,2013
Yield Strength,604,2013
Tensile Strength,804,2013
Yield Strength,600,2013
Tensile Strength,510,2013
Tensile Strength,1755,2013
Tensile Strength,1572,2013
Tensile Strength,1475,2013
Tensile Strength,1697,2013
Tensile Strength,777,2013
Tensile Strength,300,2013
Tensile Strength,262,2013
Yield Strength,100,2013
Yield Strength,150,2013
Yield Strength,205,2013
Tensile Strength,560,2013
Tensile Strength,1250,2013
Yield Strength,268,2013
Tensile Strength,457,2013
Yield Strength,400,2013
Yield Strength,52,2013
Yield Strength,460,2013
Tensile Strength,625,2013
Yield Strength,167,2013
Tensile Strength,516,2013
Tensile Strength,500,2014
Tensile Strength,350,2014
Tensile Strength,50,2014
Tensile Strength,190,2014
Yield Strength,170,2014
Yield Strength,374,2014
Yield Strength,39,2014
Tensile Strength,425,2014
Tensile Strength,515,2014
Tensile Strength,425,2014
Tensile Strength,425,2014
Tensile Strength,515,2014
Tensile Strength,722,2014
Tensile Strength,72,2014
Yield Strength,700,2014
Yield Strength,539,2014
Tensile Strength,971,2014
Tensile Strength,1496,2014
Tensile Strength,1595,2014
Tensile Strength,671,2014
Tensile Strength,520,2014
Yield Strength,195,2014
Yield Strength,450,2014
Yield Strength,139,2014
Tensile Strength,450,2014
Yield Strength,1150,2014
Tensile Strength,1293,2014
Yield Strength,620,2014
Tensile Strength,919,2014
Yield Strength,1150,2014
Tensile Strength,1293,2014
Tensile Strength,630,2014
Yield Strength,790,2014
Yield Strength,900,2014
Tensile Strength,1000,2014
Yield Strength,197,2014
Tensile Strength,100,2014
Yield Strength,579,2014
Yield Strength,316,2014
Yield Strength,500,2014
Tensile Strength,45,2014
Tensile Strength,45,2014
Tensile Strength,608,2014
Tensile Strength,630,2014
Yield Strength,630,2014
Yield Strength,713,2014
Tensile Strength,1054,2014
Yield Strength,780,2014
Yield Strength,349,2014
Tensile Strength,744,2014
Yield Strength,304,2014
Yield Strength,620,2014
Yield Strength,620,2014
Tensile Strength,900,2014
Yield Strength,900,2014
Tensile Strength,950,2014
Tensile Strength,2000,2014
Yield Strength,377,2014
Tensile Strength,596,2014
Tensile Strength,520,2014
Tensile Strength,150,2014
Yield Strength,200,2014
Yield Strength,280,2014
Yield Strength,275,2014
Tensile Strength,250,2014
Yield Strength,580,2014
Tensile Strength,820,2014
Tensile Strength,328,2014
Tensile Strength,359,2014
Tensile Strength,75,2014
Tensile Strength,150,2014
Tensile Strength,359,2014
Tensile Strength,150,2014
Tensile Strength,1335,2014
Yield Strength,250,2014
Tensile Strength,680,2014
Tensile Strength,809,2014
Tensile Strength,809,2014
Tensile Strength,300,2014
Tensile Strength,510,2014
Tensile Strength,469,2014
Tensile Strength,86,2014
Yield Strength,1055,2014
Yield Strength,235,2014
Yield Strength,310,2014
Tensile Strength,910,2014
Yield Strength,826,2014
Yield Strength,298,2014
Tensile Strength,620,2014
Tensile Strength,200,2014
Yield Strength,800,2014
Yield Strength,291,2014
Tensile Strength,590,2015
Tensile Strength,1800,2015
Tensile Strength,60,2015
Yield Strength,250,2015
Yield Strength,1970,2015
Yield Strength,1170,2015
Tensile Strength,415,2015
Tensile Strength,60,2015
Yield Strength,1100,2015
Yield Strength,900,2015
Yield Strength,891,2015
Yield Strength,900,2015
Yield Strength,550,2015
Yield Strength,700,2015
Yield Strength,305,2015
Tensile Strength,645,2015
Yield Strength,568,2015
Tensile Strength,994,2015
Yield Strength,1380,2015
Tensile Strength,1441,2015
Yield Strength,1460,2015
Tensile Strength,1514,2015
Yield Strength,1502,2015
Tensile Strength,1560,2015
Yield Strength,90,2015
Tensile Strength,580,2015
Yield Strength,230,2015
Tensile Strength,650,2015
Tensile Strength,43,2015
Tensile Strength,480,2015
Tensile Strength,130,2015
Tensile Strength,367,2015
Tensile Strength,285,2015
Tensile Strength,180,2015
Yield Strength,1590,2015
Tensile Strength,1295,2015
Yield Strength,606,2015
Yield Strength,241,2015
Tensile Strength,851,2015
Tensile Strength,855,2015
Tensile Strength,850,2015
Tensile Strength,1444,2015
Tensile Strength,1100,2015
Tensile Strength,134,2015
Tensile Strength,251,2015
Tensile Strength,211,2015
Tensile Strength,681,2015
Tensile Strength,790,2015
Tensile Strength,674,2015
Tensile Strength,50,2015
Yield Strength,350,2015
Yield Strength,450,2015
Tensile Strength,900,2015
Yield Strength,800,2015
Tensile Strength,1100,2015
Tensile Strength,570,2015
Tensile Strength,523,2015
Tensile Strength,340,2015
Tensile Strength,523,2015
Tensile Strength,523,2015
Tensile Strength,523,2015
Tensile Strength,1020,2015
Yield Strength,660,2015
Tensile Strength,265,2015
Yield Strength,1450,2015
Yield Strength,720,2015
Tensile Strength,920,2015
Yield Strength,340,2015
Yield Strength,500,2015
Tensile Strength,1010,2015
Yield Strength,745,2015
Yield Strength,500,2015
Yield Strength,700,2015
Yield Strength,650,2015
Tensile Strength,345,2015
Tensile Strength,660,2015
Tensile Strength,300,2015
Tensile Strength,130,2015
Yield Strength,850,2015
Tensile Strength,1150,2015
Tensile Strength,1400,2015
Tensile Strength,2000,2015
Tensile Strength,525,2015
Tensile Strength,425,2015
Tensile Strength,1500,2015
Yield Strength,770,2015
Tensile Strength,1100,2015
Tensile Strength,870,2015
Tensile Strength,827,2015
Tensile Strength,750,2015
Yield Strength,200,2015
Yield Strength,2000,2015
Tensile Strength,800,2015
Yield Strength,530,2015
Tensile Strength,861,2015
Tensile Strength,115,2015
Tensile Strength,828,2015
Tensile Strength,828,2015
Tensile Strength,900,2015
Tensile Strength,900,2015
Yield Strength,480,2015
Yield Strength,275,2015
Yield Strength,300,2015
Tensile Strength,1000,2015
Yield Strength,1500,2015
Tensile Strength,2600,2015
Tensile Strength,160,2015
Yield Strength,1450,2015
Tensile Strength,90,2015
Yield Strength,452,2015
Yield Strength,535,2015
Tensile Strength,770,2015
Yield Strength,1450,2015
Yield Strength,720,2015
Tensile Strength,920,2015
Yield Strength,330,2015
Yield Strength,60,2015
Yield Strength,1160,2015
Tensile Strength,885,2015
Yield Strength,1120,2015
Tensile Strength,1440,2015
Tensile Strength,488,2016
Yield Strength,300,2016
Tensile Strength,370,2016
Tensile Strength,370,2016
Tensile Strength,200,2016
Yield Strength,885,2016
Tensile Strength,1000,2016
Yield Strength,165,2016
Yield Strength,156,2016
Tensile Strength,550,2016
Yield Strength,200,2016
Yield Strength,321,2016
Tensile Strength,143,2016
Yield Strength,300,2016
Tensile Strength,700,2016
Yield Strength,950,2016
Tensile Strength,162,2016
Tensile Strength,2300,2016
Tensile Strength,694,2016
Yield Strength,538,2016
Tensile Strength,692,2016
Yield Strength,515,2016
Tensile Strength,571,2016
Yield Strength,275,2016
Yield Strength,560,2016
Tensile Strength,250,2016
Tensile Strength,558,2016
Yield Strength,290,2016
Tensile Strength,123,2016
Yield Strength,249,2016
Tensile Strength,560,2016
Yield Strength,194,2016
Yield Strength,200,2016
Yield Strength,1480,2016
Yield Strength,1430,2016
Tensile Strength,350,2016
Tensile Strength,100,2016
Tensile Strength,350,2016
Tensile Strength,391,2016
Yield Strength,323,2016
Yield Strength,1150,2016
Yield Strength,600,2016
Yield Strength,43,2016
Yield Strength,140,2016
Yield Strength,210,2016
Yield Strength,575,2016
Tensile Strength,502,2016
Tensile Strength,480,2016
Yield Strength,401,2016
Tensile Strength,621,2016
Yield Strength,1000,2016
Yield Strength,360,2016
Yield Strength,850,2016
Tensile Strength,1000,2016
Yield Strength,1366,2016
Tensile Strength,1416,2016
Yield Strength,210,2016
Tensile Strength,1680,2016
Tensile Strength,485,2016
Yield Strength,270,2016
Yield Strength,250,2016
Yield Strength,250,2016
Yield Strength,300,2016
Yield Strength,300,2016
Yield Strength,508,2016
Tensile Strength,1027,2016
Tensile Strength,235,2016
Tensile Strength,515,2016
Tensile Strength,383,2016
Tensile Strength,378,2016
Tensile Strength,375,2016
Tensile Strength,384,2016
Yield Strength,890,2016
Tensile Strength,1340,2016
Yield Strength,550,2016
Yield Strength,500,2016
Tensile Strength,744,2016
Yield Strength,170,2016
Tensile Strength,485,2016
Tensile Strength,515,2016
Tensile Strength,590,2016
Tensile Strength,590,2016
Tensile Strength,558,2016
Yield Strength,290,2016
Tensile Strength,320,2016
Tensile Strength,65,2016
Tensile Strength,120,2016
Tensile Strength,700,2016
Tensile Strength,307,2016
Tensile Strength,520,2016
Tensile Strength,650,2016
Tensile Strength,670,2016
Yield Strength,320,2016
Tensile Strength,650,2016
Tensile Strength,420,2016
Tensile Strength,400,2016
Tensile Strength,400,2016
Yield Strength,172,2016
Tensile Strength,900,2016
Tensile Strength,1100,2016
Tensile Strength,1455,2016
Tensile Strength,468,2016
Tensile Strength,450,2016
Tensile Strength,508,2016
Tensile Strength,508,2016
Tensile Strength,630,2016
Tensile Strength,862,2016
Tensile Strength,350,2016
Tensile Strength,468,2016
Tensile Strength,468,2016
Yield Strength,315,2016
Tensile Strength,626,2016
Tensile Strength,1200,2016
Tensile Strength,657,2016
Tensile Strength,826,2016
Yield Strength,322,2016
Yield Strength,426,2016
Yield Strength,1412,2016
Tensile Strength,590,2016
Tensile Strength,32,2016
Tensile Strength,32,2016
